	genre	bookID	format	0	1	2	3	4	5	6
876	['fiction', 'classics', 'historical fiction', 'horror', 'mystery', 'thriller', 'crime']	2895	paperback	fiction	classics	historical fiction	horror	mystery	thriller	crime
877	['fiction', 'classics', 'historical fiction', 'horror', 'mystery', 'thriller', 'crime']	2896	paperback	fiction	classics	historical fiction	horror	mystery	thriller	crime
878	['short stories', 'fiction', 'german literature', 'literature', 'novels', 'germany', '20th century']	2898	paperback	short stories	fiction	german literature	literature	novels	germany	20th century
879	['manga', 'fantasy', 'graphic novels', 'comics', 'fiction', 'young adult', 'comics manga']	2906	paperback	manga	fantasy	graphic novels	comics	fiction	young adult	comics manga
880	['fiction', 'classics', 'german literature', 'novels', 'short stories', 'germany', 'literature']	2899	paperback	fiction	classics	german literature	novels	short stories	germany	literature
881	['fiction', 'german literature', 'germany', 'classics', 'contemporary', 'novels', 'literature']	2900	paperback	fiction	german literature	germany	classics	contemporary	novels	literature
882	['manga', 'fantasy', 'graphic novels', 'comics', 'fiction', 'young adult', 'comics manga']	2907	paperback	manga	fantasy	graphic novels	comics	fiction	young adult	comics manga
883	['fiction', 'adventure', 'childrens', 'young adult', 'realistic fiction']	2912	paperback	fiction	adventure	childrens	young adult	realistic fiction		
884	['young adult', 'humor', 'sports', 'middle grade', 'short stories', 'teen', 'fiction']	2917	paperback	young adult	humor	sports	middle grade	short stories	teen	fiction
885	['music', 'history']	2921	paperback	music	history					
886	['historical fiction', 'fiction', 'adventure', 'westerns', 'middle grade', 'young adult', 'childrens']	2920	paperback	historical fiction	fiction	adventure	westerns	middle grade	young adult	childrens
887	['nonfiction', 'memoir', 'adventure', 'animals', 'dogs', 'sports', 'biography']	2923	paperback	nonfiction	memoir	adventure	animals	dogs	sports	biography
888	['fiction', 'young adult', 'adventure', 'survival', 'realistic fiction', 'middle grade', 'childrens']	2928	hardcover	fiction	young adult	adventure	survival	realistic fiction	middle grade	childrens
889	['fiction', 'classics', 'adventure', 'literature', 'historical fiction', 'novels', '18th century']	2933	paperback	fiction	classics	adventure	literature	historical fiction	novels	18th century
890	['fiction', 'classics', 'adventure', 'literature', 'historical fiction', 'novels', '18th century']	2934	paperback	fiction	classics	adventure	literature	historical fiction	novels	18th century
891	['fiction', 'classics', 'adventure', 'literature', 'historical fiction', 'novels', '18th century']	2932	paperback	fiction	classics	adventure	literature	historical fiction	novels	18th century
892	['fiction', 'classics', 'adventure', 'literature', 'historical fiction', 'novels', '18th century']	2940	hardcover	fiction	classics	adventure	literature	historical fiction	novels	18th century
893	['fiction', 'classics', 'adventure', 'literature', 'historical fiction', 'novels', '18th century']	2937	paperback	fiction	classics	adventure	literature	historical fiction	novels	18th century
894	['history', 'nonfiction', 'pirates', 'classics', 'historical', '18th century', 'adventure']	2942	paperback	history	nonfiction	pirates	classics	historical	18th century	adventure
895	['short stories', 'fiction']	2949	softcover	short stories	fiction					
896	['classics', 'adventure', 'fiction', 'historical fiction', 'humor']	2952	hardcover	classics	adventure	fiction	historical fiction	humor		
897	['classics']	2953	paperback	classics						
898	['classics', 'fiction', 'historical fiction', 'literature', 'young adult', 'adventure', 'school']	2956	paperback	classics	fiction	historical fiction	literature	young adult	adventure	school
899	['classics', 'fiction', 'historical fiction', 'literature', 'young adult', 'adventure', 'school']	2958	hardcover	classics	fiction	historical fiction	literature	young adult	adventure	school
900	['classics', 'fiction', 'historical fiction', 'literature', 'young adult', 'adventure', 'school']	2960	paperback	classics	fiction	historical fiction	literature	young adult	adventure	school
901	['classics', 'fiction', 'historical fiction', 'literature', 'young adult', 'adventure', 'school']	2962	hardcover	classics	fiction	historical fiction	literature	young adult	adventure	school
902	['humor', 'nonfiction', 'classics', 'biography', 'history', 'literature', 'philosophy']	2965	softcover	humor	nonfiction	classics	biography	history	literature	philosophy
903	['classics', 'short stories', 'fiction', 'literature', 'humor', 'american', 'anthologies']	2968	paperback	classics	short stories	fiction	literature	humor	american	anthologies
904	['humor', 'nonfiction', 'classics', 'essays', 'short stories', 'audiobook', 'history']	2967	hardcover	humor	nonfiction	classics	essays	short stories	audiobook	history
905	['biography', 'nonfiction', 'autobiography', 'classics', 'memoir', 'history', 'biography memoir']	2971	paperback	biography	nonfiction	autobiography	classics	memoir	history	biography memoir
906	['essays', 'literature', 'american', 'humor', 'fiction', 'short stories', 'classics']	2973	hardcover	essays	literature	american	humor	fiction	short stories	classics
907	['fiction', 'classics', 'fantasy', 'adventure', 'historical fiction', 'literature', 'novels']	2978	paperback	fiction	classics	fantasy	adventure	historical fiction	literature	novels
908	['nonfiction', 'erotica', 'sexuality', 'feminism', 'psychology', 'relationships', 'womens']	2997	paperback	nonfiction	erotica	sexuality	feminism	psychology	relationships	womens
909	['christmas', 'classics', 'fiction', 'short stories', 'holiday', 'childrens classics', 'historical fiction']	2988	hardcover	christmas	classics	fiction	short stories	holiday	childrens classics	historical fiction
910	['classics', 'fiction', 'childrens', 'young adult', 'historical fiction', 'middle grade', 'fantasy']	2998	hardcover	classics	fiction	childrens	young adult	historical fiction	middle grade	fantasy
911	['classics', 'fiction', 'childrens', 'young adult', 'historical fiction', 'middle grade', 'fantasy']	3003	paperback	classics	fiction	childrens	young adult	historical fiction	middle grade	fantasy
912	['classics', 'fiction', 'childrens', 'young adult', 'fantasy', 'historical fiction', 'middle grade']	3004	hardcover	classics	fiction	childrens	young adult	fantasy	historical fiction	middle grade
913	['classics', 'fiction', 'childrens', 'young adult', 'historical fiction', 'middle grade', 'historical']	3008	paperback	classics	fiction	childrens	young adult	historical fiction	middle grade	historical
914	['biography', 'nonfiction']	3011	paperback	biography	nonfiction					
915	['classics', 'fiction', 'childrens', 'young adult', 'historical fiction', 'middle grade', 'fantasy']	3006	paperback	classics	fiction	childrens	young adult	historical fiction	middle grade	fantasy
916	['economics', 'nonfiction', 'business', 'politics', 'finance', 'history', 'audiobook']	3023	hardcover	economics	nonfiction	business	politics	finance	history	audiobook
917	['cookbooks', 'cooking', 'food', 'nonfiction', 'books about books', 'history', 'childrens']	3014	hardcover	cookbooks	cooking	food	nonfiction	books about books	history	childrens
918	['politics', 'nonfiction', 'history', 'economics', 'sociology', 'race', 'cultural']	3040	hardcover	politics	nonfiction	history	economics	sociology	race	cultural
919	['politics', 'philosophy', 'nonfiction', 'economics', 'history', 'political science', 'sociology']	3047	paperback	politics	philosophy	nonfiction	economics	history	political science	sociology
920	['economics', 'nonfiction', 'politics', 'business', 'audiobook', 'philosophy', 'history']	3041	hardcover	economics	nonfiction	politics	business	audiobook	philosophy	history
921	['economics', 'politics', 'nonfiction', 'philosophy', 'business', 'sociology', 'psychology']	3042	paperback	economics	politics	nonfiction	philosophy	business	sociology	psychology
922	['picture books', 'classics', 'childrens', 'medieval', 'fantasy', 'mythology']	3051	paperback	picture books	classics	childrens	medieval	fantasy	mythology	
923	['self help', 'nonfiction', 'psychology', 'spirituality', 'reference', 'health', 'religion']	3053	paperback	self help	nonfiction	psychology	spirituality	reference	health	religion
924	['self help', 'nonfiction', 'psychology', 'spirituality', 'reference', 'health', 'religion']	3055	hardcover	self help	nonfiction	psychology	spirituality	reference	health	religion
925	['self help', 'nonfiction', 'psychology', 'health', 'spirituality', 'reference', 'mental health']	3056	paperback	self help	nonfiction	psychology	health	spirituality	reference	mental health
926	['art', 'drawing', 'nonfiction', 'reference', 'design', 'art design', 'education']	3061	paperback	art	drawing	nonfiction	reference	design	art design	education
927	['short stories', 'fiction', 'literature', 'american', 'jewish', 'classics', '20th century']	3067	paperback	short stories	fiction	literature	american	jewish	classics	20th century
928	['fiction', 'historical fiction', 'classics', 'jewish', 'russia', 'literature', 'novels']	3066	paperback	fiction	historical fiction	classics	jewish	russia	literature	novels
929	[]	3070	paperback							
930	['fiction', 'classics', 'jewish', 'american', 'literature', 'novels', 'americana']	3068	paperback	fiction	classics	jewish	american	literature	novels	americana
